Nome da Embarcacao;Numero de Inscricao no RGP;Numero de Inscricao na Marinha do Brasil;AB;Comprimento;Propulsao;HP;Capacidade do Porao;Volume do Tanque;Tripulacao;Numero de Covos;Status;UF;Numero da Frota;Codigo IN;Petrecho;indice
MANGUEIRA;RJ00111308;387M2007001107;;6,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14278
MANGUEMAR;SC00085508;4430118892;4,4;8,6;Motor;24;2,4;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14279
MANGUE TUR;CE00314358;1630047261;17;11,57;Motor;72;;;6;;Deferida;CE;1.03.005;1.6;1. Linha;14280
MANGUEZAL;CE00307385;162M2017000120;;4,9;Motor, Vela;15;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;14281
MANHOSO;RJ00147875;341M2005002615;;4,9;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14282
MANHOSO;SC00191308;4410450921;1;7,55;Motor;11;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;14283
MANI;SC00272507;441M2015003613;;5,3;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14284
MANINHO;SC00085516;4430122253;4,2;8,1;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14285
MANJUBA;SC00167827;441M2008002129;;5;Remo;;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;14286
MANJUBA;BA00218425;2930056274;6;6,8;;18;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;14287
MANJUBA;BA00168867;2930019271;2,5;7,7;Motor;18;;25;;;Deferida;BA;3.00.000;null;3. Rede de Arrasto;14288
MANJUBA;RJ00190174;387M2011003711;;5,5;Motor;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14289
MANJUBA II;CE00029918;161M2007000771;;4,9;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;14290
MANJUBINHA;PB00020746;2010073789;3,3;7,8;Motor;40;9;100;6;160;Deferida;PB;5.01.001;5.1;5. Armadilha;14291
MANJUBINHA;SP00085528;4010811153;4;8,8;Motor;33;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;14292
MANJUVA;SC00192404;442M2007003714;;4,5;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14293
MANNU;SP00295805;4039147995;1,68;6,3;Motor;15;;;;;Deferida;SP;6.03.001;6.6;6. Diversificada;14294
MANO;SC00050175;4430114790;5,3;8,9;Motor;22;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;14295
MANOEL;RJ00193380;383M2016001595;0,4;5,5;Remo;;0,45;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;14296
MANOEL;AP00298669;220107351;3;10;Motor;49;;350;1;;Deferida;AP;2.04.003;2.11;2. Rede de Emalhe;14297
MANOELA;CE00029938;163M2006000069;;7,9;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;14298
MANOELA;RJ00085530;3860007645;5;7;Motor;10;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;14299
MANOELA III;SC00336386;441M2022002081;;4,48;Motor;5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;14300
MANOELA V;SC00282430;445M2015000732;;4,92;Motor;9;;;2;;Deferida;SC;6.03.004;6.7;6. Diversificada;14301
MANOEL CORDEIRO;SC00010171;4430111481;48;15,7;Motor;180;;12000;6;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;14302
